,Total,Total Predicted Translate,Total Predicted Don't Translate,Total Actual Translate,Total Actual Don't Translate,Correct Translate,Incorrect Translate,Correct Don't Translate,Incorrect Don't Translate,Total Correct,Total Incorrect,No Output,Achieved Accuracy,Achieved Sensitivity,Achieved Specificity
0,324,12,312,153,171,9,3,168,144,177,147,0,0.5462962962962963,0.058823529411764705,0.9795918367346939
1,324,10,314,153,171,8,2,169,145,177,147,0,0.5462962962962963,0.05228758169934641,0.9863945578231292
2,324,26,298,153,171,21,5,166,132,187,137,0,0.5771604938271605,0.13725490196078433,0.9635036496350365
3,324,36,288,153,171,28,8,163,125,191,133,0,0.5895061728395061,0.1830065359477124,0.9398496240601504
4,324,41,283,153,171,31,10,161,122,192,132,0,0.5925925925925926,0.20261437908496732,0.9242424242424242
5,324,58,265,153,171,43,15,155,110,198,125,1,0.6130030959752322,0.28104575163398693,0.88
6,324,76,247,153,171,54,22,148,99,202,121,1,0.6253869969040248,0.35294117647058826,0.8181818181818182
7,324,76,248,153,171,53,23,148,100,201,123,0,0.6203703703703703,0.3464052287581699,0.8130081300813008
8,324,83,238,153,171,52,31,137,101,189,132,3,0.5887850467289719,0.33986928104575165,0.7651515151515151
9,324,78,239,153,171,46,32,134,105,180,137,7,0.5678233438485805,0.304635761589404,0.7664233576642335
10,324,89,218,153,171,60,29,135,83,195,112,17,0.6351791530944625,0.4195804195804196,0.7410714285714286
